,path,items,AGM
95,GZIP_y2016_s5000/CIK__1011006__serial__885704__date__2016-07-26.txt.gz,False,False
96,GZIP_y2016_s5000/CIK__1011109__serial__902758__date__2016-10-13.txt.gz,False,False
97,GZIP_y2016_s5000/CIK__1011509__serial__847125__date__2016-02-18.txt.gz,False,False
98,GZIP_y2016_s5000/CIK__1011509__serial__865418__date__2016-06-14.txt.gz,False,False
99,GZIP_y2016_s5000/CIK__1011659__serial__902767__date__2016-10-24.txt.gz,False,False
100,GZIP_y2016_s5000/CIK__1011659__serial__902768__date__2016-11-14.txt.gz,False,False
101,GZIP_y2016_s5000/CIK__1011835__serial__847135__date__2016-02-25.txt.gz,False,False
102,GZIP_y2016_s5000/CIK__1011835__serial__847136__date__2016-03-09.txt.gz,False,False
103,GZIP_y2016_s5000/CIK__1011835__serial__885726__date__2016-09-28.txt.gz,False,False
104,GZIP_y2016_s5000/CIK__101199___serial__847139__date__2016-02-05.txt.gz,False,False
105,GZIP_y2016_s5000/CIK__1012019__serial__847144__date__2016-02-10.txt.gz,False,False
106,GZIP_y2016_s5000/CIK__1012019__serial__902774__date__2016-10-31.txt.gz,False,False
107,GZIP_y2016_s5000/CIK__1012271__serial__902779__date__2016-11-10.txt.gz,False,False
108,GZIP_y2016_s5000/CIK__1012477__serial__847154__date__2016-03-10.txt.gz,False,False
109,GZIP_y2016_s5000/CIK__1012477__serial__885740__date__2016-07-01.txt.gz,False,False
110,GZIP_y2016_s5000/CIK__1012493__serial__885751__date__2016-09-28.txt.gz,False,False
111,GZIP_y2016_s5000/CIK__1012569__serial__865470__date__2016-04-01.txt.gz,False,False
112,GZIP_y2016_s5000/CIK__1012569__serial__885756__date__2016-08-16.txt.gz,False,False
113,GZIP_y2016_s5000/CIK__1012569__serial__902793__date__2016-10-25.txt.gz,False,False
114,GZIP_y2016_s5000/CIK__1012620__serial__902804__date__2016-11-01.txt.gz,False,False
115,GZIP_y2016_s5000/CIK__1013237__serial__902814__date__2016-12-22.txt.gz,True,False
116,GZIP_y2016_s5000/CIK__1013272__serial__847172__date__2016-01-29.txt.gz,False,False
117,GZIP_y2016_s5000/CIK__1013272__serial__885769__date__2016-09-30.txt.gz,False,False
118,GZIP_y2016_s5000/CIK__1013272__serial__902819__date__2016-12-16.txt.gz,False,False
119,GZIP_y2016_s5000/CIK__1013488__serial__865494__date__2016-04-12.txt.gz,False,False
120,GZIP_y2016_s5000/CIK__1013706__serial__885777__date__2016-08-11.txt.gz,False,False
121,GZIP_y2016_s5000/CIK__101382___serial__847187__date__2016-02-01.txt.gz,False,False
122,GZIP_y2016_s5000/CIK__101382___serial__885779__date__2016-07-26.txt.gz,False,False
123,GZIP_y2016_s5000/CIK__1013857__serial__847188__date__2016-02-24.txt.gz,False,False
124,GZIP_y2016_s5000/CIK__1013871__serial__865513__date__2016-05-05.txt.gz,False,False
125,GZIP_y2016_s5000/CIK__1013871__serial__885785__date__2016-08-03.txt.gz,False,False
126,GZIP_y2016_s5000/CIK__1013880__serial__865519__date__2016-05-27.txt.gz,False,False
127,GZIP_y2016_s5000/CIK__1014111__serial__865525__date__2016-05-04.txt.gz,False,False
128,GZIP_y2016_s5000/CIK__1014111__serial__902840__date__2016-12-12.txt.gz,False,False
129,GZIP_y2016_s5000/CIK__1014507__serial__847208__date__2016-02-08.txt.gz,False,False
130,GZIP_y2016_s5000/CIK__1014763__serial__885797__date__2016-07-14.txt.gz,False,False
131,GZIP_y2016_s5000/CIK__1015328__serial__847219__date__2016-01-19.txt.gz,False,False
132,GZIP_y2016_s5000/CIK__1015328__serial__865542__date__2016-04-08.txt.gz,False,True
133,GZIP_y2016_s5000/CIK__1015739__serial__885801__date__2016-07-26.txt.gz,False,False
134,GZIP_y2016_s5000/CIK__101594___serial__902863__date__2016-11-16.txt.gz,False,False
135,GZIP_y2016_s5000/CIK__1016125__serial__865559__date__2016-05-17.txt.gz,True,False
136,GZIP_y2016_s5000/CIK__1016169__serial__865561__date__2016-05-09.txt.gz,False,False
137,GZIP_y2016_s5000/CIK__1016178__serial__847240__date__2016-03-03.txt.gz,True,False
138,GZIP_y2016_s5000/CIK__1016708__serial__847244__date__2016-03-21.txt.gz,True,False
139,GZIP_y2016_s5000/CIK__1017303__serial__847251__date__2016-03-03.txt.gz,False,False
140,GZIP_y2016_s5000/CIK__1017491__serial__902883__date__2016-12-01.txt.gz,False,False
141,GZIP_y2016_s5000/CIK__101778___serial__847268__date__2016-03-04.txt.gz,False,False
142,GZIP_y2016_s5000/CIK__101778___serial__847269__date__2016-03-08.txt.gz,False,False
143,GZIP_y2016_s5000/CIK__101778___serial__885844__date__2016-08-22.txt.gz,True,False
144,GZIP_y2016_s5000/CIK__1017793__serial__885847__date__2016-08-02.txt.gz,False,False
145,GZIP_y2016_s5000/CIK__1018254__serial__847289__date__2016-02-10.txt.gz,True,False
146,GZIP_y2016_s5000/CIK__1018399__serial__865620__date__2016-05-05.txt.gz,False,True
147,GZIP_y2016_s5000/CIK__1019361__serial__847325__date__2016-02-04.txt.gz,False,False
148,GZIP_y2016_s5000/CIK__1019361__serial__902938__date__2016-10-28.txt.gz,False,False
149,GZIP_y2016_s5000/CIK__1019650__serial__847328__date__2016-01-28.txt.gz,False,False
150,GZIP_y2016_s5000/CIK__1019671__serial__885880__date__2016-07-13.txt.gz,False,False
151,GZIP_y2016_s5000/CIK__1019671__serial__902942__date__2016-12-06.txt.gz,False,False
